"VDS_ID","노선번호","VDS이정","방향코드","콘존ID","콘존시작이정","콘존종료이정",
"0500VDS09700","0500","113.8000","S","0500CZS200","114.4500","94.4700",
"0500VDS10500","0500","123.6000","S","0500CZS210","123.6000","114.4500",
"0150VDS28490","0150","326.0000","S","0150CZS320","326.0900","320.9700",
"0150VDS28730","0150","331.8000","S","0150CZS350","332.1400","328.9800",
"0150VDS28940","0150","333.2000","S","0150CZS360","333.2900","332.1400",
"0500VDS13200","0500","152.5000","S","0500CZS240","160.0100","142.9300",
"0500VDS13900","0500","160.2000","S","0500CZS250","167.3000","160.0100",
"0150VDE28480","0150","326.0000","E","0150CZE320","320.9700","326.0900",
"0150VDE28720","0150","331.8000","E","0150CZE350","328.9800","332.1400",
"0150VDE28930","0150","333.1000","E","0150CZE360","332.1400","333.2900",
"1040VDS00150","1040","3.0000","S","1040CZS010","3.3000","0.0000",
"1040VDE00150","1040","3.0000","E","1040CZE010","0.0000","3.3000",
"0500VDS15500","0500","182.5000","S","0500CZS260","182.6900","176.6000",
"0500VDS18600","0500","224.6000","S","0500CZS300","234.4000","211.8400",
"0500VDS18800","0500","226.6000","S","0500CZS300","234.4000","211.8400",
"0500VDS19100","0500","229.9000","S","0500CZS300","234.4000","211.8400",
"0500VDS19200","0500","231.1000","S","0500CZS300","234.4000","211.8400",
"0550VDE00200","0550","4.6000","E","0550CZE030","4.5000","6.8500",
"0550VDE00750","0550","108.8000","E","0550CZE130","108.5000","113.3600",
"0550VDE01200","0550","113.6000","E","0550CZE140","113.3600","118.5600",
"0550VDE02300","0550","127.5000","E","0550CZE150","127.2600","133.5400",
"0550VDE02900","0550","133.6000","E","0550CZE160","133.5400","141.2800",
"0550VDE08000","0550","189.6000","E","0550CZE190","179.3800","194.3800",
"0550VDE08500","0550","194.6000","E","0550CZE200","194.3800","207.6800",
"0550VDE10800","0550","220.0000","E","0550CZE220","219.7800","229.9800",
"0550VDE11800","0550","229.7000","E","0550CZE220","219.7800","229.9800",
"0550VDE12500","0550","243.7000","E","0550CZE230","229.9800","246.9600",
"0550VDE12800","0550","246.9000","E","0550CZE240","246.9600","261.1500",
"0370VDE02200","0370","351.8000","E","0370CZE040","346.7000","352.0000",
"0370VDS02200","0370","351.8000","S","0370CZS040","352.0000","346.7000",
"0400VDE00100","0400","0.4000","E","0400CZE010","0.0000","2.8000",
"0400VDE00300","0400","2.4000","E","0400CZE010","0.0000","2.8000",
"0400VDE00800","0400","8.0000","E","0400CZE030","8.0000","13.7000",
"0400VDE02000","0400","20.6000","E","0400CZE035","13.7000","20.8700",
"0400VDE02400","0400","23.4000","E","0400CZE040","20.8700","23.7000",
"0400VDE02700","0400","25.8000","E","0400CZE060","25.6800","35.8900",
"0400VDE04000","0400","38.8000","E","0400CZE070","35.8900","55.4000",
"0010VDE06900","0010","121.9000","E","0010CZE120","112.8400","122.1000",
"0010VDE07000","0010","122.7000","E","0010CZE130","122.1000","126.1900",
"0010VDE07100","0010","123.6000","E","0010CZE130","122.1000","126.1900",
"0010VDE07400","0010","126.5000","E","0010CZE140","126.1900","133.8700",
"0010VDE07500","0010","127.4000","E","0010CZE140","126.1900","133.8700",
"0550VDS00200","0550","4.6000","S","0550CZS030","6.8500","4.5000",
"0550VDS00750","0550","108.8000","S","0550CZS130","113.3600","108.5000",
"0550VDS01200","0550","113.6000","S","0550CZS140","118.5600","113.3600",
"0550VDS02300","0550","127.5000","S","0550CZS150","133.5400","127.2600",
"0550VDS02900","0550","133.6000","S","0550CZS160","141.2800","133.5400",
"0550VDS08000","0550","189.6000","S","0550CZS190","194.3800","179.3800",
"0550VDS08500","0550","194.6000","S","0550CZS200","207.6800","194.3800",
"0550VDS11800","0550","229.7000","S","0550CZS220","229.9800","219.7800",
"0101VDS04700","0101","60.9000","S","0101CZS060","61.2000","38.2600",
"0550VDS12500","0550","243.7000","S","0550CZS230","246.9600","229.9800",
"0550VDS12800","0550","246.9000","S","0550CZS240","261.1500","246.9600",
"0101VDS04900","0101","63.1000","S","0101CZS070","79.7100","61.2000",
"0550VDS20000","0550","327.1000","S","0550CZS310","336.2500","325.5400",
"0101VDS05800","0101","79.4000","S","0101CZS070","79.7100","61.2000",
"0650VDE04300","0650","69.1200","E","0650CZE140","69.0100","78.2500",
"0650VDE05200","0650","78.5100","E","0650CZE150","78.2500","93.4700",
"0650VDE05500","0650","81.4400","E","0650CZE150","78.2500","93.4700",
"0101VDS06800","0101","99.7000","S","0101CZS100","100.2600","97.2500",
"0101VDS06900","0101","100.8000","S","0101CZS110","104.9600","100.2600",
"0101VDE05400","0101","68.3000","E","0101CZE070","61.2000","79.7100",
"0650VDS01100","0650","28.4200","S","0650CZS090","33.0000","26.3400",
"0650VDS01500","0650","32.6900","S","0650CZS090","33.0000","26.3400",
"0101VDE05800","0101","79.4000","E","0101CZE070","61.2000","79.7100",
"0650VDS03600","0650","60.7400","S","0650CZS120","61.7700","59.0700",
"0101VDE06500","0101","96.7000","E","0101CZE090","84.4300","97.2500",
"0650VDS05700","0650","83.3600","S","0650CZS150","93.4700","78.2500",
"0651VDE00800","0651","13.9000","E","0651CZE020","6.0300","13.9200",
"0010VDE23900","0010","305.8000","E","0010CZE350","305.1100","308.6000",
"0010VDE24600","0010","315.1000","E","0010CZE355","308.6000","316.1000",
"0010VDE24700","0010","316.5000","E","0010CZE355","308.6000","316.1000",
"0010VDE25600","0010","329.9000","E","0010CZE357","316.1000","329.9100",
"0010VDE25900","0010","333.3000","E","0010CZE360","329.9100","333.4400",
"0600VDE00010","0600","14.7800","E","0600CZE050","7.8200","14.8600",
"0600VDE00015","0600","20.4400","E","0600CZE070","20.1600","33.0400",
"0651VDS00800","0651","13.9000","S","0651CZS020","13.9200","6.0300",
"0600VDE00028","0600","39.0000","E","0600CZE080","33.0400","47.2400",
"1000VDE00100","1000","0.1000","E","1000CZE010","0.0000","4.1600",
"1000VDE00400","1000","3.5000","E","1000CZE010","0.0000","4.1600",
"1000VDE00500","1000","4.3000","E","1000CZE020","4.1600","4.4000",
"1000VDE01100","1000","9.4000","E","1000CZE040","9.3600","14.3600",
"1000VDE01600","1000","13.7000","E","1000CZE040","9.3600","14.3600",
"1000VDE02700","1000","24.9000","E","1000CZE080","24.8900","25.8800",
"1000VDE02800","1000","26.1000","E","1000CZE090","25.8800","26.3600",
"1000VDE03300","1000","30.0000","E","1000CZE110","28.2800","30.1800",
"1000VDE03400","1000","30.8000","E","1000CZE120","30.1800","32.9100",
"1000VDE03500","1000","31.7000","E","1000CZE120","30.1800","32.9100",
"1000VDE03600","1000","33.0000","E","1000CZE130","32.9100","35.8000",
"1000VDE03800","1000","72.0000","E","1000CZE210","69.9700","72.1800",
"1000VDE04000","1000","75.3000","E","1000CZE230","75.2900","76.2000",
"1000VDE04500","1000","81.8000","E","1000CZE250","79.0400","82.0600",
"1000VDE05200","1000","94.8000","E","1000CZE300","90.8200","95.0300",
"1000VDE05400","1000","97.9000","E","1000CZE330","97.6900","103.3000",
"1000VDE05900","1000","102.8000","E","1000CZE330","97.6900","103.3000",
"1000VDE06200","1000","106.1000","E","1000CZE340","103.3000","106.9400",
"1000VDE06300","1000","107.7000","E","1000CZE350","106.9400","112.2100",
